,Cidade,2001,2002,2003,2004,2005,2006,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3269,Adamantina ,33639,33793,33930,34218,34378,34536,34366,34424,33821,33843,34953,35001,35048,35094,35139,35023,35068,35111,35153
3270,Adolfo ,3728,3771,3811,3895,3942,3989,3711,3710,3548,3538,3639,3631,3623,3616,3609,3571,3562,3554,3545
3271,Aguaí ,28750,29212,29684,30674,31222,31766,31763,32101,32452,32745,34188,34530,34863,35189,35508,35954,36305,36648,36981
3272,Águas da Prata ,7135,7223,7266,7356,7406,7455,7684,7734,7619,7653,7942,7984,8025,8065,8104,8137,8180,8221,8262
3273,Águas de Lindóia ,16710,17079,17491,18289,18766,19240,16335,16341,17354,17438,18108,18212,18313,18412,18509,18599,18705,18808,18908
3274,Águas de Santa Bárbara ,5384,5504,5634,5907,6058,6208,5580,5612,5630,5658,5876,5911,5944,5977,6009,6040,6075,6109,6142
3275,Águas de São Pedro ,1863,1922,1940,1978,2000,2020,2547,2613,2771,2832,3004,3073,3139,3205,3268,3380,3451,3521,3588
3276,Agudos ,32764,32968,33193,33665,33926,34185,35872,36188,34681,34833,36150,36339,36524,36704,36880,37023,37214,37401,37582
3277,Alambari ,3713,3723,3758,3829,3869,3908,4325,4391,4979,5071,5356,5460,5560,5658,5754,5918,6025,6129,6231
3278,Alfredo Marcondes ,3711,3740,3760,3802,3825,3848,4025,4055,3906,3921,4064,4083,4101,4118,4135,4147,4166,4184,4201
3279,Altair ,3572,3591,3620,3679,3712,3745,3312,3287,3837,3859,4010,4035,4060,4085,4109,4134,4160,4186,4211
3280,Altinópolis ,15701,15868,16048,16425,16633,16840,15560,15554,15617,15627,16137,16159,16179,16199,16219,16164,16184,16203,16221
3281,Alto Alegre ,4198,4150,4099,3991,3931,3872,4270,4267,4090,4078,4193,4183,4173,4164,4154,4110,4099,4088,4078
3282,Alumínio ,15432,15567,15713,16019,16189,16357,16331,16427,16961,17079,17784,17924,18061,18194,18324,18484,18628,18767,18903
3283,Álvares Florence ,4227,4162,4090,3939,3856,3773,3920,3876,3865,3834,3915,3883,3853,3824,3795,3712,3679,3647,3616
3284,Álvares Machado ,23141,23460,23830,24609,25039,25467,23694,23779,23579,23642,24482,24568,24651,24733,24813,24830,24915,24998,25078
3285,Álvaro de Carvalho ,4241,4314,4410,4610,4720,4830,4907,4984,4692,4732,4937,4984,5030,5075,5119,5179,5227,5274,5320
3286,Alvinlândia ,2878,2899,2928,2989,3022,3056,2868,2869,3013,3025,3137,3153,3168,3182,3196,3206,3222,3237,3251
3287,Americana ,185552,188643,191451,197345,200607,203845,203283,205229,212791,214873,224551,226970,229322,231621,233868,237112,239597,242018,244370
3288,Américo Brasiliense ,29303,30017,30819,32504,33437,34362,32819,33255,34954,35413,37165,37691,38202,38701,39189,39962,40504,41032,41545
3289,Américo de Campos ,5596,5595,5595,5596,5597,5597,5503,5488,5715,5723,5916,5930,5942,5955,5967,5956,5969,5981,5993
3290,Amparo ,61431,62425,63364,65333,66423,67505,65466,65928,66246,66649,69322,69808,70280,70742,71193,71700,72195,72677,73145
3291,Analândia ,3648,3700,3755,3870,3934,3997,4471,4558,4348,4401,4612,4672,4731,4789,4845,4933,4995,5056,5115
3292,Andradina ,55499,55740,56009,56573,56885,57195,56505,56593,55348,55361,57145,57198,57250,57300,57350,57112,57157,57202,57245
3293,Angatuba ,19557,19734,19937,20363,20599,20833,22877,23225,22434,22650,23666,23917,24161,24400,24634,24969,25228,25479,25724
3294,Anhembi ,4660,4745,4842,5047,5160,5273,5656,5766,5739,5822,6120,6215,6307,6397,6484,6627,6724,6819,6911
3295,Anhumas ,3424,3447,3463,3498,3517,3536,3900,3947,3764,3788,3941,3970,3999,4026,4053,4085,4115,4144,4172
3296,Aparecida ,35029,35253,35414,35754,35942,36129,37405,37629,35015,35023,36151,36184,36217,36248,36279,36129,36157,36185,36211
3297,Aparecida d'Oeste ,4909,4900,4884,4850,4832,4813,4633,4598,4413,4377,4468,4432,4397,4362,4329,4234,4196,4158,4122
3298,Apiaí ,27209,27293,27353,27481,27551,27621,25857,25700,25040,24894,25491,25349,25211,25077,24945,24526,24374,24226,24081
